documentId,fileName,relativePath,jurisdiction,region,year,years,documentType,primaryTopic,secondaryTopics,extension,size,modifiedAt,classificationStatus,confidence
"67ddf74b456de353","資料夾分層規則.md","00_索引與說明\01_查詢指南\資料夾分層規則.md","UNKNOWN","地區待確認","年份待確認","","技術規範／診療指南","資訊安全與個人資料","","md","2323","2026-09-15T07:42:30.106Z","classified_candidate","0.35"
"705f8f660b2484e3","公共场所卫生管理条例（2016修订）.pdf","01_醫療法規與政策\2016\公共场所卫生管理条例（2016修订）.pdf","UNKNOWN","地區待確認","2016","2016","行政法規／條例","其他／待確認","","pdf","316527","2022-04-23T13:41:06.000Z","classified_candidate","0.35"
"8a8340fcddbafcd6","公共场所卫生管理条例（2016修订）（2）.pdf","01_醫療法規與政策\2016\公共场所卫生管理条例（2016修订）（2）.pdf","UNKNOWN","地區待確認","2016","2016","行政法規／條例","其他／待確認","","pdf","316527","2022-04-23T13:41:06.000Z","classified_candidate","0.35"
"41e547a09b3b3484","医疗机构管理条例（2016修订）.docx","01_醫療法規與政策\2016\医疗机构管理条例（2016修订）.docx","TW","地區待確認","2016","2016","醫院評鑑／認證標準","藥事與藥品管理","感染預防與控制；護理管理；醫技、檢驗與病理；手術、麻醉與疼痛管理；臨床研究與人體試驗；職業安全與員工健康；醫療器材與設備；財務、採購與內部稽核；醫院評鑑與醫療品質；後勤、建築與設施安全；醫療治理與依法執業","docx","18545","2021-01-25T07:55:16.000Z","classified_candidate","0.75"
"39bc37f83d1b2a93","2019关于印发《上海市医疗纠纷行政调解实施办法（试行）》的通知（有效）__上海市卫生健康委员会.pdf","01_醫療法規與政策\2019\2019关于印发《上海市医疗纠纷行政调解实施办法（试行）》的通知（有效）__上海市卫生健康委员会.pdf","UNKNOWN","上海","2019","2019","公告／通知／函釋","其他／待確認","","pdf","465955","2022-09-25T03:28:16.000Z","classified_candidate","0.35"
"51b23df6606f2f94","《重庆市城市园林绿化条例》（2019年修订）执法办案有关问题的指导意见的通知.pdf","01_醫療法規與政策\2019\《重庆市城市园林绿化条例》（2019年修订）执法办案有关问题的指导意见的通知.pdf","CN","重慶","2019","2019","公告／通知／函釋","其他／待確認","","pdf","1626509","2023-02-12T06:43:10.000Z","classified_candidate","0.35"
"1dde8400dea9ef7d","CEC-15-Dec-2022.pdf","01_醫療法規與政策\2022\CEC-15-Dec-2022.pdf","UNKNOWN","地區待確認","2022","2022","待確認或非規範文件","其他／待確認","","pdf","2526621","2023-11-27T05:30:06.000Z","needs_review","0.35"
"a70bf2f9c23f9232","DB4401_T 218-2023 按病种分值医保支付工作规范.pdf","01_醫療法規與政策\2023\DB4401_T 218-2023 按病种分值医保支付工作规范.pdf","UNKNOWN","地區待確認","2023","2023","國家或地方標準","醫療保險與支付","","pdf","519437","2023-08-11T09:09:34.000Z","classified_candidate","0.35"
"474bf2e480f0d701","GPRs-1-Sep-2023.pdf","01_醫療法規與政策\2023\GPRs-1-Sep-2023.pdf","UNKNOWN","地區待確認","2023","2023","待確認或非規範文件","其他／待確認","","pdf","536346","2023-11-27T05:30:48.000Z","needs_review","0.35"
"28f56b3e303ee5ab","T_CHAS 10-4-11-2023 中国医院医疗管理 医保费用管理.pdf","01_醫療法規與政策\2023\T_CHAS 10-4-11-2023 中国医院医疗管理 医保费用管理.pdf","CN","地區待確認","2023","2023","待確認或非規範文件","醫療保險與支付","醫療治理與依法執業","pdf","372360","2024-06-09T02:39:40.000Z","classified_candidate","0.75"
"6f7f7ed0ed597f94","关于印发医疗监督执法工作规范（试行）的通知.docx","01_醫療法規與政策\2023\关于印发医疗监督执法工作规范（试行）的通知.docx","CN","地區待確認","2023","2023","查檢表／稽核表","醫院評鑑與醫療品質","病歷、電子病歷與醫療資料；資訊安全與個人資料；藥事與藥品管理；感染預防與控制；護理管理；醫技、檢驗與病理；手術、麻醉與疼痛管理；急診與緊急醫療；輸血與器官移植；生殖、婦幼與月子服務；臨床研究與人體試驗；醫療保險與支付；醫療器材與設備；消防、治安與應急管理；財務、採購與內部稽核；醫院評鑑與醫療品質；醫療治理與依法執業","docx","41638","2025-12-03T11:54:34.000Z","classified_candidate","0.75"
"e53f63d254979d1a","关于印发医疗监督执法工作规范（试行）的通知（2）.pdf","01_醫療法規與政策\2023\关于印发医疗监督执法工作规范（试行）的通知（2）.pdf","UNKNOWN","地區待確認","2023","2023","公告／通知／函釋","其他／待確認","","pdf","2770731","2025-05-20T12:15:04.000Z","classified_candidate","0.35"
"183d088e209f87ab","2024年医保基金违法违规问题专项整治工作方案.wps","01_醫療法規與政策\2024\2024年医保基金违法违规问题专项整治工作方案.wps","UNKNOWN","地區待確認","2024","2024","待確認或非規範文件","醫療保險與支付","","wps","57781","2024-05-23T05:11:46.000Z","classified_candidate","0.35"
"3c97f6718bb5b207","2024年医疗保障基金飞行检查工作方案.docm","01_醫療法規與政策\2024\2024年医疗保障基金飞行检查工作方案.docm","CN","地區待確認","2024","2024","公告／通知／函釋","病歷、電子病歷與醫療資料","資訊安全與個人資料；藥事與藥品管理；醫技、檢驗與病理；手術、麻醉與疼痛管理；醫療保險與支付；醫療器材與設備；臨床診療與醫療技術；財務、採購與內部稽核；醫療治理與依法執業","docm","34001","2024-05-23T05:11:48.000Z","classified_candidate","0.75"
"924b6022f992b0b3","2024年医疗保障基金飞行检查工作方案.wps","01_醫療法規與政策\2024\2024年医疗保障基金飞行检查工作方案.wps","UNKNOWN","地區待確認","2024","2024","待確認或非規範文件","其他／待確認","","wps","41472","2024-05-23T05:11:46.000Z","needs_review","0.35"
"4e63fe835d7b8fd2","DB1310_T 350-2024 医疗保障窗口服务规范.pdf","01_醫療法規與政策\2024\DB1310_T 350-2024 医疗保障窗口服务规范.pdf","UNKNOWN","地區待確認","2024","2024","國家或地方標準","其他／待確認","","pdf","576803","2024-10-15T07:01:34.000Z","classified_candidate","0.35"
"49bcb522b59a55c5","DB32_T 4780-2024 职业健康检查机构卫生监督执法工作规范.pdf","01_醫療法規與政策\2024\DB32_T 4780-2024 职业健康检查机构卫生监督执法工作规范.pdf","UNKNOWN","地區待確認","2024","2024","國家或地方標準","其他／待確認","","pdf","509754","2024-06-21T01:40:24.000Z","classified_candidate","0.35"
"3fa0c97f81ff2e82","DB32_T 4780-2024 职业健康检查机构卫生监督执法工作规范（2）.pdf","01_醫療法規與政策\2024\DB32_T 4780-2024 职业健康检查机构卫生监督执法工作规范（2）.pdf","UNKNOWN","地區待確認","2024","2024","國家或地方標準","其他／待確認","","pdf","509754","2024-06-21T01:40:24.000Z","classified_candidate","0.35"
"3aea1a2c171eb6c2","DB41_T 2701-2024 医疗保障经办服务规范.pdf","01_醫療法規與政策\2024\DB41_T 2701-2024 医疗保障经办服务规范.pdf","UNKNOWN","地區待確認","2024","2024","國家或地方標準","其他／待確認","","pdf","861082","2024-10-15T07:02:08.000Z","classified_candidate","0.35"
"cbba99bce0de0d5a","3058-医疗保障 消毒供应.pdf","01_醫療法規與政策\未標示年份\3058-医疗保障 消毒供应.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","感染預防與控制","","pdf","828481","2022-07-19T02:55:30.000Z","classified_candidate","0.35"
"4b67441ad88f5a19","3058-医疗保障 消毒供应（2）.pdf","01_醫療法規與政策\未標示年份\3058-医疗保障 消毒供应（2）.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","感染預防與控制","","pdf","828481","2022-07-19T02:55:30.000Z","classified_candidate","0.35"
"2826bc120c9c768d","DRG付费改革对某专科医院医疗服务及住院费用的影响分析.pdf","01_醫療法規與政策\未標示年份\DRG付费改革对某专科医院医疗服务及住院费用的影响分析.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","1457935","2024-08-22T06:54:32.000Z","needs_review","0.35"
"c4240e4e326dec64","ESG体系下公立医院财务会计转型与高质量发展路径研究.pdf","01_醫療法規與政策\未標示年份\ESG体系下公立医院财务会计转型与高质量发展路径研究.pdf","UNKNOWN","地區待確認","年份待確認","","研究論文／文獻","臨床研究與人體試驗","環境、能源與醫療廢棄物；財務、採購與內部稽核","pdf","691548","2026-03-26T07:55:02.000Z","classified_candidate","0.35"
"2ac5de6149433b3c","[中国政府网] 医疗纠纷预防和处理条例.pdf","01_醫療法規與政策\未標示年份\[中国政府网] 医疗纠纷预防和处理条例.pdf","CN","地區待確認","年份待確認","","行政法規／條例","其他／待確認","","pdf","426941","2022-06-05T16:16:28.000Z","classified_candidate","0.35"
"3066545552115ad2","《关于做好健康体重管理⻔诊设置与管理⼯作的通知》政策解读.docx","01_醫療法規與政策\未標示年份\《关于做好健康体重管理⻔诊设置与管理⼯作的通知》政策解读.docx","CN","地區待確認","年份待確認","","公告／通知／函釋","醫院評鑑與醫療品質","資訊安全與個人資料；醫療器材與設備；臨床診療與醫療技術；醫院評鑑與醫療品質","docx","31941","2025-04-14T01:26:26.000Z","classified_candidate","0.75"
"e7061117622f9460","《关于做好健康体重管理⻔诊设置与管理⼯作的通知》政策解读.pdf","01_醫療法規與政策\未標示年份\《关于做好健康体重管理⻔诊设置与管理⼯作的通知》政策解读.pdf","UNKNOWN","地區待確認","年份待確認","","公告／通知／函釋","其他／待確認","","pdf","741703","2025-04-14T00:32:22.000Z","classified_candidate","0.35"
"0be6eaa162850894","《加强餐厨垃圾收运处理工作指导意见》政策解读.pdf","01_醫療法規與政策\未標示年份\《加强餐厨垃圾收运处理工作指导意见》政策解读.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","269792","2022-06-30T08:45:28.000Z","needs_review","0.35"
"b8f42869185e926a","《违法违规使用医疗保障基金举报奖励办法》政策解读.wps","01_醫療法規與政策\未標示年份\《违法违规使用医疗保障基金举报奖励办法》政策解读.wps","UNKNOWN","地區待確認","年份待確認","","行政法規／條例","其他／待確認","","wps","27136","2024-05-23T05:11:46.000Z","classified_candidate","0.35"
"bb8584734ab7df9f","上海市医疗事故行政处罚裁量基准.docx","01_醫療法規與政策\未標示年份\上海市医疗事故行政处罚裁量基准.docx","UNKNOWN","上海","年份待確認","","院內制度／SOP","病歷、電子病歷與醫療資料","感染預防與控制；手術、麻醉與疼痛管理；醫療治理與依法執業","docx","19224","2022-05-26T02:41:06.000Z","classified_candidate","0.35"
"a7b2025ea2e2133d","上海市医疗事故行政处罚裁量基准（2）.docx","01_醫療法規與政策\未標示年份\上海市医疗事故行政处罚裁量基准（2）.docx","UNKNOWN","上海","年份待確認","","院內制度／SOP","病歷、電子病歷與醫療資料","感染預防與控制；手術、麻醉與疼痛管理；醫療治理與依法執業","docx","19224","2022-05-26T02:41:06.000Z","classified_candidate","0.35"
"4b06a0f390bce0f9","中华人民共和国国务院令（第376号）突发公共卫生事件应急条例.docx","01_醫療法規與政策\未標示年份\中华人民共和国国务院令（第376号）突发公共卫生事件应急条例.docx","CN","地區待確認","年份待確認","","研究論文／文獻","病歷、電子病歷與醫療資料","資訊安全與個人資料；藥事與藥品管理；感染預防與控制；醫技、檢驗與病理；急診與緊急醫療；生殖、婦幼與月子服務；臨床研究與人體試驗；醫療器材與設備；消防、治安與應急管理；醫療治理與依法執業","docx","27269","2022-06-29T06:09:48.000Z","classified_candidate","0.75"
"1103e8e19113ade6","人体器官移植条例.pdf","01_醫療法規與政策\未標示年份\人体器官移植条例.pdf","UNKNOWN","地區待確認","年份待確認","","行政法規／條例","輸血與器官移植","","pdf","128990","2021-01-25T08:13:30.000Z","classified_candidate","0.35"
"73b5bf10fcd071af","人体捐献器官获取收费和财务管理办法（试行）.pdf","01_醫療法規與政策\未標示年份\人体捐献器官获取收费和财务管理办法（试行）.pdf","UNKNOWN","地區待確認","年份待確認","","院內制度／SOP","財務、採購與內部稽核","","pdf","1849859","2024-10-16T02:43:44.000Z","classified_candidate","0.35"
"d2b588ee0e1f87fa","使用有毒物品作业场所劳动保护条例.pdf","01_醫療法規與政策\未標示年份\使用有毒物品作业场所劳动保护条例.pdf","UNKNOWN","地區待確認","年份待確認","","行政法規／條例","其他／待確認","","pdf","2980279","2023-04-02T08:04:08.000Z","classified_candidate","0.35"
"731cdbad00aff590","八项规定严格禁止的财务行为80条详细解析（收藏）.xlsx","01_醫療法規與政策\未標示年份\八项规定严格禁止的财务行为80条详细解析（收藏）.xlsx","CN","地區待確認","年份待確認","","醫院評鑑／認證標準","感染預防與控制","醫療保險與支付；財務、採購與內部稽核；醫院評鑑與醫療品質；醫療治理與依法執業","xlsx","42265","2024-05-23T05:11:44.000Z","classified_candidate","0.75"
"03d1d6a02162a5fc","关于做好《医疗纠纷预防和处理条例》贯彻实施工作的通知.docx","01_醫療法規與政策\未標示年份\关于做好《医疗纠纷预防和处理条例》贯彻实施工作的通知.docx","CN","地區待確認","年份待確認","","研究論文／文獻","醫院評鑑與醫療品質","感染預防與控制；醫技、檢驗與病理；臨床研究與人體試驗；醫療器材與設備；環境、能源與醫療廢棄物；醫院評鑑與醫療品質；醫療治理與依法執業","docx","18514","2022-05-25T03:59:58.000Z","classified_candidate","0.75"
