documentId,fileName,relativePath,jurisdiction,region,year,years,documentType,primaryTopic,secondaryTopics,extension,size,modifiedAt,classificationStatus,confidence
"1dde8400dea9ef7d","CEC-15-Dec-2022.pdf","01_醫療法規與政策\2022\CEC-15-Dec-2022.pdf","UNKNOWN","地區待確認","2022","2022","待確認或非規範文件","其他／待確認","","pdf","2526621","2023-11-27T05:30:06.000Z","needs_review","0.35"
"474bf2e480f0d701","GPRs-1-Sep-2023.pdf","01_醫療法規與政策\2023\GPRs-1-Sep-2023.pdf","UNKNOWN","地區待確認","2023","2023","待確認或非規範文件","其他／待確認","","pdf","536346","2023-11-27T05:30:48.000Z","needs_review","0.35"
"924b6022f992b0b3","2024年医疗保障基金飞行检查工作方案.wps","01_醫療法規與政策\2024\2024年医疗保障基金飞行检查工作方案.wps","UNKNOWN","地區待確認","2024","2024","待確認或非規範文件","其他／待確認","","wps","41472","2024-05-23T05:11:46.000Z","needs_review","0.35"
"2826bc120c9c768d","DRG付费改革对某专科医院医疗服务及住院费用的影响分析.pdf","01_醫療法規與政策\未標示年份\DRG付费改革对某专科医院医疗服务及住院费用的影响分析.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","1457935","2024-08-22T06:54:32.000Z","needs_review","0.35"
"0be6eaa162850894","《加强餐厨垃圾收运处理工作指导意见》政策解读.pdf","01_醫療法規與政策\未標示年份\《加强餐厨垃圾收运处理工作指导意见》政策解读.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","269792","2022-06-30T08:45:28.000Z","needs_review","0.35"
"5b3aa76683d0f8ca","河南省卫生健康行政处罚裁量标准.pdf","01_醫療法規與政策\未標示年份\河南省卫生健康行政处罚裁量标准.pdf","CN","河南","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","9890281","2024-06-12T07:24:58.000Z","needs_review","0.35"
"669a360ef55b41d9","职业卫生技术服务机构监督执法工作规范.pdf","01_醫療法規與政策\未標示年份\职业卫生技术服务机构监督执法工作规范.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","1658509","2023-12-06T13:01:08.000Z","needs_review","0.35"
"af5753c9c2890bd1","职业卫生技术服务机构监督执法工作规范（2）.pdf","01_醫療法規與政策\未標示年份\职业卫生技术服务机构监督执法工作规范（2）.pdf","UNKNOWN","地區待確認","年份待確認","","待確認或非規範文件","其他／待確認","","pdf","1658509","2023-12-06T13:01:08.000Z","needs_review","0.35"
"2e553d5f6726b8c1","建标 177-2016 急救中心建设标准.pdf","02_醫院管理與品質\2016\建标 177-2016 急救中心建设标准.pdf","UNKNOWN","地區待確認","2016","2016","待確認或非規範文件","其他／待確認","","pdf","894118","2023-11-15T12:25:38.000Z","needs_review","0.35"
"56cc165ef7146413","DB 14∕T 1657-2018 医院临床营养科建设与管理规范.pdf","02_醫院管理與品質\2018\DB 14∕T 1657-2018 医院临床营养科建设与管理规范.pdf","UNKNOWN","地區待確認","2018","2018","待確認或非規範文件","其他／待確認","","pdf","1305756","2024-10-06T07:34:06.000Z","needs_review","0.35"
"0c7caa3af62a9246","TCHAS 10-2-3-2018急救綠色通道.pdf","02_醫院管理與品質\2018\TCHAS 10-2-3-2018急救綠色通道.pdf","UNKNOWN","地區待確認","2018","2018","待確認或非規範文件","其他／待確認","","pdf","1445118","2023-11-15T12:24:40.000Z","needs_review","0.35"
"834ddebc4e4df00b","准分子激光屈光性角膜技术管理规范-修【北京版】2018.pdf","02_醫院管理與品質\2018\准分子激光屈光性角膜技术管理规范-修【北京版】2018.pdf","UNKNOWN","北京","2018","2018","待確認或非規範文件","其他／待確認","","pdf","194416","2023-08-20T08:40:24.000Z","needs_review","0.35"
"7bf724baf6d9af6a","TCACM 1318.23-2019.pdf","02_醫院管理與品質\2019\TCACM 1318.23-2019.pdf","UNKNOWN","地區待確認","2019","2019","待確認或非規範文件","其他／待確認","","pdf","1605989","2025-08-03T17:01:54.000Z","needs_review","0.35"
"836be463ce099d26","2021配电室安全管理规范.pdf","02_醫院管理與品質\2021\2021配电室安全管理规范.pdf","UNKNOWN","地區待確認","2021","2021","待確認或非規範文件","其他／待確認","","pdf","348927","2022-07-06T14:12:28.000Z","needs_review","0.35"
"16d82440dd4501c6","建标 106-2021 中医医院建设标准.pdf","02_醫院管理與品質\2021\建标 106-2021 中医医院建设标准.pdf","UNKNOWN","地區待確認","2021","2021","待確認或非規範文件","其他／待確認","","pdf","5443411","2025-02-28T01:35:06.000Z","needs_review","0.35"
"490389a2e836adb7","T_CACM 1385-2022 慢性前列腺炎湿热瘀滞证诊断标准.pdf","02_醫院管理與品質\2022\T_CACM 1385-2022 慢性前列腺炎湿热瘀滞证诊断标准.pdf","UNKNOWN","地區待確認","2022","2022","待確認或非規範文件","其他／待確認","","pdf","594758","2025-08-03T17:04:08.000Z","needs_review","0.35"
"98fc8beda3824052","T_CADERM 3047-2022 结石性肾绞痛中西医结合诊疗要求.pdf","02_醫院管理與品質\2022\T_CADERM 3047-2022 结石性肾绞痛中西医结合诊疗要求.pdf","UNKNOWN","地區待確認","2022","2022","待確認或非規範文件","其他／待確認","","pdf","209013","2025-08-03T17:02:34.000Z","needs_review","0.35"
